ao_locus_tag,kegg_gene_id,uniprot_accession,ncbi_gene_id,gene_name,function,compartment_raw
AO090124000047,aor:AO090124000047,Q2U768,5995801,,Pyruvate decarboxylase (EC 4.1.1.1),
AO090124000036,aor:AO090124000036,Q2U778,5995791,,"DNA, SC124",SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00037814}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00037814}; Extracellular side {ECO:0000256|ARBA:ARBA00037814}.
AO090124000035,aor:AO090124000035,Q2U779,5995790,,"DNA, SC124",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090124000030,aor:AO090124000030,Q2U783,5995784,,ADP-ribosylation factor,
AO090124000027,aor:AO090124000027,Q2U786,5995783,,homocitrate synthase (EC 2.3.3.14),
AO090124000024,aor:AO090124000024,Q2U789,5995780,,Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.
AO090701000898,aor:AO090701000898,Q2U7C0,5995735,,L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3),SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000256|ARBA:ARBA00004569}.
AO090701000890,aor:AO090701000890,Q2U7C8,10098795,,"Choline monooxygenase, chloroplastic (EC 1.14.15.7)",
AO090701000887,aor:AO090701000887,Q2U7D0,5995725,,Beta-xylanase (EC 3.2.1.8),SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.
AO090701000885,aor:AO090701000885,Q2U7D2,5995723,axhA,Probable alpha-L-arabinofuranosidase axhA (EC 3.2.1.55) (Arabinoxylan arabinofuranohydrolase axhA),SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
AO090701000884,aor:AO090701000884,Q2U7D3,5995722,,Feruloyl esterase C (EC 3.1.1.73) (Ferulic acid esterase C),"SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613, ECO:0000256|RuleBase:RU367094}."
AO090701000874,aor:AO090701000874,Q2U7E1,5995714,,Peptide hydrolase (EC 3.4.-.-),
AO090701000860,aor:AO090701000860,Q2U7F5,5995700,,Peptide hydrolase (EC 3.4.-.-),
AO090701000841,aor:AO090701000841,Q2U7H1,5995684,,beta-glucosidase (EC 3.2.1.21),SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.
AO090701000831,aor:AO090701000831,Q2U7I0,5995675,,"DNA, SC111",
AO090701000830,aor:AO090701000830,Q2U7I1,5995674,,Delta 8-(E)-sphingolipid desaturase (EC 1.14.19.18),
AO090701000819,aor:AO090701000819,Q2U7J1,5995664,,D-xylose reductase [NAD(P)H] (EC 1.1.1.307),
AO090701000814,aor:AO090701000814,Q2U7J5,5995660,,"DNA, SC111",SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004323}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004323}.
AO090701000813,aor:AO090701000813,Q2U7J6,5995659,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000809,aor:AO090701000809,Q2U7K0,5995655,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000797,aor:AO090701000797,Q2U7L0,5995645,,Endoplasmic reticulum-Golgi intermediate compartment protein,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU369013}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU369013}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000256|RuleBase:RU369013}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU369013}. Golgi apparatus membrane {ECO:0000256|RuleBase:RU369013}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU369013}. Membrane {ECO:0000256|ARBA:ARBA00004370}.
AO090701000795,aor:AO090701000795,Q2U7L2,5995643,,Repressor of RNA polymerase III transcription MAF1,SUBCELLULAR LOCATION: Nucleus {ECO:0000256|PIRNR:PIRNR037240}.
AO090701000789,aor:AO090701000789,Q2U7L7,5995638,,Sphingomyelin phosphodiesterase,
AO090701000783,aor:AO090701000783,Q2U7M2,5995633,,"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase)",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.
AO090701000781,aor:AO090701000781,Q2U7M4,,,"DNA, SC111",SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00004572}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004572}.
AO090701000770,aor:AO090701000770,Q2U7N3,5995622,,Beta-galactosidase (EC 3.2.1.23),
AO090701000763,,Q2U7N9,5995616,sho1,High osmolarity signaling protein sho1 (Osmosensor sho1),SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
AO090701000762,aor:AO090701000762,Q2U7P0,5995615,,"DNA, SC111",
AO090701000755,aor:AO090701000755,Q2U7P6,5995609,,Serine-threonine kinase receptor-associated protein,
AO090701000751,aor:AO090701000751,Q2U7Q0,5995605,,D-xylose reductase [NAD(P)H] (EC 1.1.1.307),
AO090701000739,aor:AO090701000739,Q2U7Q9,5995596,,dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117),SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004389}.
AO090701000737,aor:AO090701000737,Q2U7R1,5995594,,GPI mannosyltransferase 2 (EC 2.4.1.-),"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477, ECO:0000256|RuleBase:RU363112}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477, ECO:0000256|RuleBase:RU363112}."
AO090701000730,aor:AO090701000730,Q2U7R7,5995588,,"DNA, SC111",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477}. Membrane {ECO:0000256|RuleBase:RU003484}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003484}.
AO090701000728,aor:AO090701000728,Q2U7R9,5995586,,Origin recognition complex subunit 2,"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|RuleBase:RU368084}."
AO090701000725,aor:AO090701000725,Q2U7S1,5995584,,pyridoxal 5'-phosphate synthase (glutamine hydrolyzing) (EC 4.3.3.6),
AO090701000719,aor:AO090701000719,Q2U7S6,5995757,,Exocyst complex component Sec8,
AO090701000710,aor:AO090701000710,Q2U7T3,5995572,,"DNA, SC111",SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000256|ARBA:ARBA00004128}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004128}.
AO090701000709,aor:AO090701000709,Q2U7T4,5995571,,"DNA, SC111",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.
AO090701000703,aor:AO090701000703,Q2U7U0,5995565,,Ras modification protein ERF4,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004406}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004406}.
AO090701000698,aor:AO090701000698,Q2U7U4,5995561,,Delta(24)-sterol reductase (EC 1.3.1.72),SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.
AO090701000693,aor:AO090701000693,Q2U7U9,5995556,,"DNA, SC111",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.
AO090701000686,aor:AO090701000686,Q2U7V5,5995550,,polynucleotide adenylyltransferase (EC 2.7.7.19),
AO090701000685,aor:AO090701000685,Q2U7V6,,,Squalene monooxygenase (EC 1.14.14.17),"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477, ECO:0000256|RuleBase:RU367121}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477, ECO:0000256|RuleBase:RU367121}. Microsome membrane {ECO:0000256|ARBA:ARBA00004154}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004154}."
AO090701000682,aor:AO090701000682,Q2U7V9,5995546,,Ferrochelatase (EC 4.98.1.1),SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|ARBA:ARBA00004443}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004443}; Matrix side {ECO:0000256|ARBA:ARBA00004443}.
AO090701000678,aor:AO090701000678,Q2U7W2,5995543,,Pre-mRNA-splicing factor CWC24,SUBCELLULAR LOCATION: Nucleus {ECO:0000256|RuleBase:RU367110}.
AO090701000677,aor:AO090701000677,Q2U7W3,5995542,,"DNA, SC111",
AO090701000671,aor:AO090701000671,Q2U7W9,5995536,,"DNA, SC111",
AO090701000656,aor:AO090701000656,Q2U7Y0,5995525,,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] (EC 1.3.1.124)",
AO090701000644,aor:AO090701000644,Q2U7Y9,5995516,,feruloyl esterase (EC 3.1.1.73) (Ferulic acid esterase A),
AO090701000642,aor:AO090701000642,Q2U7Z0,5995515,,Mitogen-activated protein kinase (EC 2.7.11.24),
